headlen	count	mean	std	min	25%	50%	75%	max
50	2468.0	0.5907567820911752	1.9646053504493988	0.04983721545722169	0.04983721545722169	0.14951164637166506	0.3986977236577735	34.487353096397406
100	2706.0	0.8492309398892168	12.71793548507565	0.024918607728610844	0.024918607728610844	0.07475582318583253	0.2242674695574976	601.4105975300228
150	2874.0	1.0722457830834538	14.416019481136138	0.016612405152407233	0.016612405152407233	0.04983721545722169	0.1661240515240723	537.5109811112883
200	3018.0	1.1847815432104984	15.226464097432023	0.012459303864305422	0.012459303864305422	0.03737791159291626	0.13705234250735965	532.4483506410922
300	3302.0	1.1611326611598505	13.162188389458052	0.008306202576203616	0.008306202576203616	0.033224810304814466	0.10798063349064699	358.5455404044052
400	3568.0	0.9784097870201246	10.327248331458218	0.006229651932152711	0.006229651932152711	0.024918607728610844	0.08721512705013795	291.04933827017464
500	3780.0	0.8505946971488513	8.246389199719559	0.004983721545722169	0.009967443091444338	0.019934886182888675	0.07475582318583253	232.89927527468842
700	4152.0	0.785905829156618	6.588942747175505	0.003559801104087264	0.007119602208174526	0.01779900552043632	0.0614065690455053	166.52393584809812
1000	4551.0	0.754770446778151	7.0916779810264	0.0024918607728610844	0.004983721545722169	0.012459303864305422	0.05482093700294386	260.62870195508657
1500	5031.0	0.5902815821162766	5.054831425555185	0.001661240515240723	0.003322481030481446	0.009967443091444338	0.04651473442674025	200.74098138065847
